id,value,lemmata
10613,0,grieks voorstel laten nog even op zich wachten
10631,0,Griekenland leveren lijst met hervormingsplan in
10645,1,eurogroep verlengen Grieks noodprogramma
10647,1,twee kamer positief over grieks hervormingsplan
10689,-1,Rabobank resultaat moeten goed
10691,-1,malaise in bouw bezorgen Heijmans rood cijfer
10693,-1,werkloosheid stijgen licht in januari
10699,-1,wereld hebben niets leren van Nick_Leeson
10729,-1,Fugro boeken groot verlies door laag olieprijs
10759,0,tsipras nieuw steunprogramma niet nodig
10769,0,India willen ver groeien en hervormen
10777,0,Rutte pas trots als crisis voor iedereen voorbij zijn
10815,1,werkloosheid eurozone dalen naar laag peil in 3 jaar
10831,-1,varoufakis grexit zijn slecht scenario
10867,-1,in Nederland komen ondernemer moeilijk aan krediet
10871,1,China willen werken aan stabiel groei
10877,0,inflatie stijgen weer iets
10881,0,Dijsselbloem niet extra bezuinigen
10905,-1,Dijsselbloem tot 2 miljard minder door gas
10929,0,duitse wet voor veel vrouw in topfunctie
10951,0,meest pensioenpremie naar beneden
10981,1,Record aan buitenlands investering
10991,0,vragen 60 miljard euro staatsschuld
10997,0,hoe pompen ECB extra geld in economie
11003,-1,Dijsselbloem gesprek Griekenland gaan te langzaam
11045,-1,winst Wall_Street smelten weg
11051,-1,Telegraaf lijden weer verlies
11053,0,watersportsector krijgen weer hoop na zwaar crisis
11059,1,McDonald veel klant veel omzet
11105,-1,DNB waarschuwen voor zeepbel
11107,1,Kamer steunen doorwerken na pensioen
11143,0,Dijsselbloem Griekenland geven ander schuld
11169,0,chinese premier 7 procent groei nieuw normaal
11185,1,werkend Nederlander zien koopkracht sterk stijgen
11191,1,aandelenbeurs zetten koersopmars voort
11225,-1,Fingergate zetten duits-griekse relatie ver onder druk
11229,0,betalen om te sparen kunnen dat
11301,-1,De_Grieken lijken op ramkoers te liggen
11311,0,crisisoverleg eu-leider en Grieken van_start
11343,1,Brabants_Energieakkoord leveren 5.000 baan op
11365,-1,niet eens genoeg geld om bier te kopen
11373,0,duizend Ieren straat op voor waterbelasting
11407,0,huishoudelijk hulp tijdelijk goedkoop
11415,0,wat moeten Grieken nu doen
11421,-1,45-plussers vaak in schuldsanering
11467,1,ploumen positief over omstreden handelsverdrag ttip
11469,0,groot nederlands deurfabrikant failliet
11473,0,miljoeneninvestering in schoonmaak-startup
11559,1,China nemen voortouw in nieuw investeringsbank
11583,-1,lijst met griekse hervorming afkeuren
11611,1,exporteur rekenen op groei van 9 procent
11639,0,asscher pakken schijnconstructie pakketbezorger aan
11647,-1,veel hulp voor werkloos migrantenjongere
11673,1,Fors veel file door herstel economie
11679,0,bezuiniging NFI gaan door
11685,0,coalitie vergaderen over nieuw belastingstelsel
11713,-1,PvdA-fracties_Brussel en Den_Haag tegen ttip
11745,1,Cyprus heffen laat restrictie op na crisis
11749,0,V d zoeken guerrillastrategie
11775,1,IMF blij met toezegging Griekenland
11783,-1,Amsterdam trekken miljoen uit tegen jeugdwerkloosheid
11805,1,AEX voor eerst in 7 jaar boven 500 punt
11869,0,inflatie opnieuw iets stijgen
11871,0,NVM woningmarkt in rustig vaarwater
11873,0,wat doen huizenprijs bij u in buurt
11889,1,hoog gemeentebelasting kunnen baan opleveren
11945,-1,Dijkhoff cybercrime beginnen economie te raken
11973,-1,CPB kilometerheffing moeilijk uitvoerbaar
11979,0,je kunnen niet bezuinigen op thuiszorg en tegelijk verpleeghuis
11999,-1,Raad_van_State zien geen ruimte voor lastenverlichting
12003,1,nederlands export zetten stijgen lijn door
12005,-1,zorg over zeepbel verzekeraar en bonus
12009,-1,pensioen ABP volgen jaar niet omhoog
12021,1,IMF veel groei Europa en Nederland
12119,0,zzp er krijgen pensioenbescherming in bijstand
12141,1,wiebes komen met alternatief voor opvolger VAR-verklaring
12157,0,Duitsers straat op tegen vrijhandelsverdrag
12161,1,Nederland steken geld in economisch herstel ebola-landen
12183,1,als ing-top veel krijgen dan medewerker ook
12203,1,Verfreus_AkzoNobel zien omzet en winst stijgen
12205,0,PvdA geven ambtenaar nu loonsverhoging
12241,-1,ook Nationale-Nederlanden sturen uitzendkracht weg
12245,1,groot stijging consumptie in vier jaar tijd
12255,-1,TSN_Thuiszorg vrezen honderd dwingen ontslaan
12267,-1,lokaal overheid Griekenland betalen niet
12293,0,stoet prominent willen veel geld voor defensie
12319,0,pensioenpremie ambtenaar toch uitbetalen
12347,0,beleid richten op laag inkomen veel effectief
12351,1,asscher omarmen loonkostensubsidie
12363,-1,Deutsche_Bank bezuinigen miljard na megaboete
12365,1,Cameron profiteren maar niet van mooi groeicijfer
12367,1,Spanje rekenen op groot groei in 8 jaar
12401,-1,thuiszorgers bezorgd over kwart loonverlaging
12409,0,overleg over cao grootmetaal stranden
12415,1,ook consument zijn weer motor voor economie
12425,1,Frankrijk komen deels terug van bezuiniging op leger
12483,0,straatveger Den_Haag in vast dienst
12501,0,van Baalen VVD willen Griekenland uit euro
12515,1,stroom in jaar tijd 20 procent goedkoop
12523,0,doorstart voor Miss_Etam en Promiss
12537,0,europese economie groeien maar niet in Griekenland
12541,-1,Achterblijven griekse economie zijn beet eigen schuld
12573,-1,veel werkgever ontslaan flexkrachten
12583,1,"1,8 miljard euro winst voor ING_Bank"
12585,-1,vakantiegeld voor meest werknemer fors laag
12587,0,inflatie stijgen door duur smartphone
12595,0,veel baan weg bij SBM_Offshore
12621,0,DUO negeren nieuw richtlijn en sturen payroller weg
12623,0,hypotheekrente langzaam omhoog
12681,-1,eu-minister nog niet tevreden over Griekenland
12701,-1,DNB waarschuwen bank voor te laag buffer
12725,1,Heijmans zien verder herstel huizenmarkt
12727,1,"economie groeien met 0,4 procent"
12731,0,minder duitse veel franse economisch groei
12733,1,Kamp herstelperiode zijn achter_de_rug
12755,-1,Frankrijk worstelen met ingrijpend bezuinigingseis EU
12815,0,Bouwer BAM positief ondanks verlies
12823,0,Bouw willen blijven laag btw-tarief
12861,-1,Rekenkamer kraken bezuiniging AIVD
12869,-1,loonverlaging onbespreekbaar voor meest V d er
12931,-1,minder omzet voor blokker en Xenos in 2014
12943,0,Merkel en Hollande denken mee met Tsipras
12951,0,koud weer zorgen voor veel uitgaaf door huishouden
12977,1,kredietbeoordelaar S P positief over Nederland
12991,0,britse centraal bank onderzoeken gevolg brexit
13043,-1,groot reorganisatie bij Malaysia_Airlines
13105,-1,bond bezorgd over flirten tussen Delhaize en Ahold
13145,1,opvallen omzetstijging woonwinkel
13197,1,over heel linie gaan het goed met bouw
13199,0,grontmij overnemen voor 354 miljoen
13211,1,het gaan weer wat goed met pensioenfonds
13245,0,vakantiebaan voor student steeds vaak digitaal
13253,0,geldschieter komen zelf met voorstel voor Griekenland
13259,0,akkoord geldschieter Griekenland
13265,0,gemeente moeten veel belasting heffen
13269,1,nederlands economie groeien snel
13309,-1,inflatie lucht in door vliegvakantie
13311,1,na 24 uur praten veel loon voor machinist en conducteur
13327,0,Griekenland willen betaling aan imf uitstellen
13339,0,olie zijn goedkoop maar hoe lang nog
13377,0,Rutte in India dit zijn nog maar begin
13413,1,DNB zeven mager jaar zijn voorbij
13427,1,economie trekken aan nu koers houden
13441,-1,britse bank HSBC schrappen 25.000 baan
13443,-1,Vakbond vrezen banenverlies bij scheepsbouwer IHC
13453,-1,Rekenkamer zeer kritisch over bezuiniging zorg
13471,1,Dijsselbloem we laten crisis achter ons
13507,0,rijk land worden weer trekker wereldeconomie
13513,-1,vakbond kritisch over CPB-plan voor verlagen van WW
13519,0,WW van vangnet voor werkloze naar stimulans om te werken
13605,-1,brussel-overleg met Griekenland weer mislukken
13613,1,consument kopen weer detailhandel groeien verder
13623,0,Rabobank verhogen hypotheekrente
13629,1,coalitie zijn het nu definitief eens over hervorming belasting
13651,0,IMF hameren opnieuw op verlagen leengrens in Nederland
13659,0,geldtransporteur Brink_Nederland in duitse hand
13683,1,verzekeraar krijgen veel budget voor chronisch ziek
13713,1,bang voor minder pensioen door laag rente pensioenknip komen t
13723,-1,werkgever zien stagiair als goedkoop kracht
13735,0,Dijsselbloem kans op snel grieks akkoord klein
13807,0,kabinet informeren Kamer over belastingplan
13815,0,hoe werken ECB-noodsteun aan griekse bank
13825,0,asscher verwachten geen chaos bij uitbetaling WW
13833,-1,ING maar weinig handel tussen Griekenland en rest EU
13839,-1,kloof tussen inkomen werknemer en directeur worden groot
13853,0,demonstratie op Dam voor Griekenland
13859,1,kabinetschef Juncker voorstel Tsipras goed basis
13871,0,"huizenprijs stijgen met 2,6 procent"
13921,0,familiebedrijf zijn niet uit op snel winst
13939,0,laag inkomen profiteren meest van belastingplan
13943,-1,weer brusselse naheffing van 200 miljoen
13973,0,tsipras en geldschieter vergaderen verder
13975,0,verschil tussen laag- en hoogopgeleid nemen ver toe
13991,0,helft overheidsschuld in buitenlands hand
13997,1,rechter draaien loonsverlaging thuiszorgbedrijf terug
13999,-1,crisisheffing mogen niet met terugwerken kracht
14007,-1,eurogroep uiteen zonder akkoord met Griekenland
14011,0,eurogroep praten zaterdag ver over griekse crisis
14045,1,Griekenland kunnen na grexit best op eigen been staan
14055,-1,Hoop voor Griekenland vervliegen
14061,0,onderhandeling zijn mislukken wat nu
14077,0,Draghi nu geen nieuw steungeld voor Griekenland
14079,0,crisis of geen crisis Nederlanders gaan gerust naar Griekenland
14081,0,CDA en D66 verstandig dat ECB noodkrediet niet verhogen
14085,-1,griekse bank en beurs blijven maandag dicht
14097,-1,AEX openen fors laag door griekse crisis
14103,0,Grieken referendum en dreigen faillissement wat nu
14107,0,NZa overheid moeten duur medicijn inkoop
14117,0,D66 gaan meepraten over belasting
14123,0,Rutte gevolg griekse probleem voor Nederland beperken
14131,0,Obama willen plicht op betalen overuur uitbreiden
14141,0,Zijlstra groot belastinghervorming van tafel
14145,0,mislukken belastingonderhandelingen goed nieuw voor winkelier
14151,1,ABN_Amro positief over woningmarkt
14167,0,eurogroep overleggen vanavond over nieuw grieks voorstel
14175,-1,eurogroep schieten nieuw grieks voorstel af
14177,-1,Griekenland hebben deadline voor aflossing niet halen
14187,-1,bedrijf ontslaan honderd werknemer vanwege nieuw wet
14199,0,minder import uit Zwitserland door duur frank
14205,0,Griekenland wanbetaler en nu
14241,0,IMF Griekenland hebben 50 miljard en schuldenverlichting nodig
14259,1,aantal hypotheekaanvraag schieten omhoog
14269,1,klijnsma veel mens met arbeidshandicap aan_het werk
14289,1,vakantiebaan liggen voor oprapen
14307,0,Grieken gaan opnieuw geld vragen van ECB
14309,0,Kabinet praten met 50plus over belasting
14315,0,PvdA D66 ver praten PVV nu grexit
14317,0,varoufakis nee tegen nog vijf jaar bezuinigen
14319,0,tsipras nee zijn geen breuk met Europa
14321,0,Merkel en Hollande dinsdag extra Eurotop
14329,-1,meest beurs Azië openen iets laag na Grieks nee
14349,0,Doel zijn nog steeds om Griekenland in euro te houden
14369,-1,australiër zorgen voor pensioen wanhopig Griek
14377,0,demotie worden steeds gewoon
14383,-1,ik willen geloven dat dit nu griekse dieptepunt zijn
14387,0,werkgelegenheid voor mens met arbeidshandicap groeien nauw
14391,0,dit gebeuren er op een eurotop na griekse referendum
14397,0,een op elf bijstandsgerechtigd hebben baan
14401,-1,vrij val aandelenbeurs China zetten door
14407,0,Griekenland willen licht aan_het eind van tunnel
14415,0,esm hebben nieuw hulpvraag Grieken binnen
14417,-1,nog eens duizend baan weg bij Microsoft
14425,-1,salaris klm-piloot bevriezen
14427,-1,grexit of niet Nederland betalen
14461,0,steeds groot verschil beloning hoog- en laagopgeleid
14471,-1,helft directie moeten weg bij V d
14473,0,griekse plan onderweg naar Brussel
14481,1,V d voor zeker vier jaar redden
14539,0,Eurotop schorsen Tsipras praten met Merkel en Hollande
14553,1,hbo er vinden iets snel baan
14555,-1,Grieken zien toekomst somber in
14573,0,griekse bank nog niet open
14589,0,Dijsselbloem twijfelen aan succes Griekenland-overleg
14591,0,tsipras hopen Grieken over te halen
14603,0,DNB passen rekenrente pensioenfonds aan
14619,-1,pensioen 2 tot 6 procent duur door maatregel DNB
14621,-1,Pensioeningreep_DNB erg pijnlijk
14627,0,IMF Griekenland hebben groot schuldreductie nodig
14629,0,kwart schoenenwinkel Van_Dalen maken doorstart
14637,0,"dekkingsgraad pensioenfonds dalen gemiddeld 3,5 procentpunt"
14641,1,stabiel economisch groei in China
14649,1,flink groei van nederlands export
14659,1,export naar Iran kunnen met 400 miljoen euro toenemen
14675,-1,discussie over kwijtschelding griekse schuld komen terug
14679,0,grieks parlement stemmen in met akkoord
14687,1,honderdduizend mens veel met baan in jaar tijd
14693,0,premier Rutte op handelsreis naar Zuid-Afrika
14695,0,streng Finnen willen toch praten over geld voor Athene
14701,0,Rutte in najaar kijken naar schuldverlichting Grieken
14715,-1,veel Nederlanders lang tijd zonder werk
14721,-1,handel met Rusland sterk afnemen
14769,0,consument besteden veel maar vertrouwen slinken
14777,0,Griekenland betalen ECB_en_IMF
14789,1,huizenprijs al veel_dan jaar omhoog
14793,-1,miljardenverlies voor moederbedrijf Nuon
14799,-1,hausse aan ontslagaanvraag op 29 en 30 juni
14835,1,flink verhoging minimumloon New_York
14915,-1,Rusland veroorzaken dip in nederlands landbouwexport
14991,-1,filmproducent Relativity failliet
15011,0,zo zien verschil tussen noord- en Zuid-Europa eruit
15033,1,nederlands ondernemer geloven weer in economie
15113,-1,nog 35 extra ontslaan bij regionaal blad van tmg
15115,-1,Siemens schrappen 7.800 baan waarvan 3.300 in Duitsland
15131,-1,kredietwaardigheid Griekenland verlagen vanwege nieuw regering
15151,0,MKB-Nederland een in_plaats_van twee jaar loon doorbetalen bi
15153,-1,met veel winkel gaan het slecht dan ooit
15167,0,Alan_Greenspan Griekenland stappen uiteindelijk uit euro
15171,-1,zonder Griekenland storten eurozone in
15175,0,tsipras willen punt zetten achter eu-hulp aan Griekenland
15199,-1,blokker schrappen ongeveer 440 baan
15213,0,dit zijn waarom werknemer van Blokker zo duur zijn
15219,0,V d hebben ze niet veel maar privaat equity-reus KKR zijn nog ove
15237,0,nemen jij net zoals veel Nederlanders twee baan
15261,0,inflatie dalen naar laag niveau in 27 jaar nul procent
15275,-1,hoe laag olieprijs ook voor jou baan gevaar kunnen worden
15285,0,wat worden zometeen een zin van zijn speech over economi
15287,1,"nederlands economie met 0,5 procent groeien"
15297,-1,Regiotaxi_Gelderland failliet
15311,0,V d en Blokker willen ook graag online beet te laat of nie
15315,-1,baan creëren via belastingverlaging zijn duur en werken niet
15317,-1,VVD jagen werknemer loopgraaf in met aanval op cao
15341,1,winkelier zien verkoop voor_het_eerst sinds 2008 toenemen
15347,0,V d vandaag voor rechter vanwege loonsverlaging personeel
15355,0,Griekenland keuren ontwerptekst schuldenkwestie af
15367,-1,TNT_Express in rood door kost reorganisatie
15377,1,ruim 3.700 nieuw baan in Zeeland door bouw vakantieparken
15427,-1,Air_France-KLM laten winstdoel los en schrappen 800 baan
15429,0,in 5 minuut bijpraten waarom het cruciaal dag zijn voor Gr
15457,0,consument geven veel uit in december vertrouwen verbeteren ni
15459,1,huizenprijs al tien maand in plus
15461,-1,DNB we sparen en lenen veel te veel
15467,0,Loon werknemer V d nog niet omlaag in februari
15471,0,Duitsland en Frankrijk willen Griekenland in eurozone houden
15475,0,DNB en CPB tegen ser-advies over werkloosheidsuitkering
15477,-1,waarom nu ook deurwaarder zelf (geld)zorgen hebben
15479,1,Eurolanden eens over conceptakkoord Griekenland
15493,1,tspiras we hebben ons doel bereiken
15497,0,dit zijn wat eurozone en Griekenland hebben afspreken
15515,0,mogen V d zijn werknemer minder betalen van rechter
15517,0,minder winst voor HSBC topman in_opspraak met zwitserse rekeni
15519,0,V d mogen loon niet verlagen
15523,1,het gaan goed met nederlands bedrijvigheid zélfs in bo
15535,-1,asr schrappen 100 baan bij afdeling levensverzekering
15549,0,wat hebben Grieken allemaal aan hun schuldeiser beloven
15579,0,Kamer steunen verlenging lening aan Griekenland
15589,-1,werkloosheid stijgen licht voor vier maand op rij
15611,0,overal stijgen koers maar zijn dat nou goed of slecht nieuw
15641,0,wat voor topman hebben V d nodig
15655,-1,ook bij jou bedrijf lopen mens met schuld rond
15675,-1,RBS trekken zich vrijwel terug uit Nederland 600 van 650 baan
15699,0,ondernemer in Nederland krijgen dan maar eens lening los
15719,0,minister Asscher willen geen ver bezuiniging niet verant
15723,-1,duizend ontslaan dreigen in verzekeringsbranche
15799,1,hoog bedrag aan buitenlands investering ooit
15809,-1,Dijsselbloem overleg met Grieken kost te veel tijd
15889,0,Mol casht koers stijgen
15935,-1,bank moeten recordbedrag afboeken op slecht lening
16003,0,kamer geen extra bezuiniging op zorg
16025,1,je kúnt nog instappen horen je ook bij winnaar op beurs
16027,0,FED hint op verhogen rente in zomer
16053,0,Griekenland beloven EU hervormingsvoorstellen
16069,1,aex-index voor_het_eerst in 7 jaar weer boven 500 punt
16105,-1,geldnood op school lang lesgeven voor zelfde loon
16139,0,veel betalingsachterstand maar huurder minder vaak uit huis ge
16147,0,iedereen willen wel mee op handelsreis naar China
16167,1,"consument besteden 1,8 procent veel groot stijging in 4 j"
16181,0,"overheidstekort 2,3 procent economie klimmen voorzichtig uit"
16183,0,snel verhoging aow-leeftijd Klijnsma komen Kamer tegemoet
16235,0,verborgen werkloosheid die kruimelbaan van jong
16243,-1,duizend Belgen straat op tegen bezuinigingsbeleid
16249,0,multinational ontwijken belasting in Griekenland via Nederland
16291,0,resultaat aanpak jeugdwerkloosheid vaag
16337,0,pvda-fractie in Brussel en Den_Haag wijzen omstreden ttip af
16349,-1,crisis veroorzaken opmars van brallen klasse
16359,-1,nibud mbo-student diep in schuld
16371,0,Afrika worden steeds belangrijk voor nederlands export
16383,0,Griekenland we komen ons betaalverplichting aan_het IMF na
16415,0,Griekenland beloven lening van IMF deze week terug te betalen
16435,0,Dijsselbloem willen nog niet zeggen wanneer ABN wel naar beurs kunnen
16467,0,Griekenland ontkennen dat Rusland om financieel hulp hebben ge
16479,0,Rusland overwegen Griekenland toekomstig winst voor te schieten
16485,1,huizenprijs stagneren na voorzichtig herstel
16487,0,inflatie nemen opnieuw toe door hoog benzineprijs
16491,1,Griekenland betalen IMF en kunnen weer even ademhalen
16499,-1,alleen wetgever kunnen bankier nog bij zin brengen
16547,0,het zijn kópen of kopen worden
16561,-1,zó goed gaan het nou ook weer niet met economie
16569,0,zzp er dan hebben je vast je pensioen niet regelen
16599,-1,wijkverpleegkundige vrezen bezuiniging
16601,-1,"abp-pensioen van 2,8 miljoen mens in 2016 niet verhogen"
16609,0,wankelen herstel van wereldeconomie zeggen imf
16689,-1,groot pensioenfonds zien hun financieel situatie versle
16701,0,geven 18-jarig volwassen loon
16793,-1,Dijsselbloem Grexit zijn geen optie
16897,-1,Deutsche_Bank bezuinigen miljard duizend baan op sp
16905,1,crisis of niet Polen en bulgaren doen het steeds goed in Neder
16923,-1,rekenkamer slechts helft van zorgbezuiniging lukken
16939,0,Nederland wachten nieuw europese naheffing van 200 miljoen
16953,0,amerikaanse economie groeien nauwelijks in een kwartaal
16959,0,Fed houden rente in VS ongewijzigd
16981,-1,gehandicapt dreigen garantiebaan massaal mis te lopen
17043,1,spaanse arbeidsmarkt laten opmerkelijk groei zien
17075,0,inflatie stijgen voor drie maand op rij
17079,-1,Siemens schrappen nog_eens 4500 baan
17085,-1,SBM_Offshore schrappen veel baan na tegenvallen kwartaal
17087,0,CBS als euro zakken profiteren nederlands export
17123,0,Griekenland betalen IMF nog_geen akkoord met eurogroep verwac
17151,0,nederlands economie groeien opnieuw maar wel minder hard
17245,-1,kledingwinkel leveren ruim tweederde winstmarge in
17277,-1,IMF 5.300 miljard dollar subsidie voor steenkool en olie zijn
17285,-1,groot reorganisatie Belastingdienst 5.000 baan weg
17291,0,het zijn nú tijd voor huizenjacht niet over zes week
17355,1,consument besteden wederom veel hun vertrouwen stijgen ook wee
17363,1,Nederland misschien straks weer triple A-land bij S P
17381,0,bank of England kijken naar gevolg van Brexit
17403,-1,griekse minister we hebben geld niet voor volgen IMF-beta
17429,0,kabinet trekken portemonnee om migratie tegen te gaan
17451,0,omzet Ahold stijgen een kwartaal flink winst vallen tegen
17463,0,regionaal omroep krijgen een bestuur en dat kosten tot 180 ban
17479,0,dnb-president Knot herhalen leengrens hypotheek moeten omlaag
17483,1,Europarlement en lidstaat akkoord over investeringsfonds Juncke
17497,1,imf-topvrouw Lagarde eurozone zullen vertrekken Griekenland_overle
17535,0,hongaars arbeider onderbetalen tijdens werk voor overheid
17571,1,omzet bouw blijven groeien vooral bij klein bouwbedrijf
17593,1,kabinet voorzien laag staatsschuld door meevaller
17599,-1,rekenkamer noodhulp Griekenland komen niet veel terug
17619,0,vanaf 2021 doorwerken tot 67 jaar
17627,0,tsipras dreigen betaling aan IMF niet te halen vanavond overleg
17633,1,OESO nog optimistisch over nederlands economie
17647,0,Draghi open geldkraan helpen dichtdraaien niet aan_de_orde
17669,1,NS en vakbond bereiken overeenstemming nieuw cao
17673,-1,honderd ontslaan bij FrieslandCampina
17715,1,er zijn weer veel werk voor top-zzp er
17751,0,Máxima_MC betalen miljoen aan ontslagpremie ex-bestuurders
17757,1,DNB Nederland profiteren van geldverruiming ECB
17775,-1,HSBC schrappen veel_dan 22.000 baan
17783,-1,miljoenenbezuiniging kabinet in gevaar onvoldoend onderbou
17791,0,zijn we ein-de-lijk uit crisis
17809,-1,scheepsbouwer IHC_Merwede schrappen rond_de 1600 baan
17825,-1,Griekenland en schuldeiser veel onderhandeling nodig
17831,-1,advies CPB WW omlaag om werkloosheid oud aan te_pakken
17839,0,wiebes komen week met oppositie praten over belasting
17859,0,Nederlanders moeten pensioen in een keer op kunnen nemen
17887,0,IMF blokkeren compromis tussen griek en euroland
17903,-1,gesprek tussen griekenland en schuldeiser weer mislukken
17917,0,samsom coalitie akkoord over herziening belastingstelsel
17975,-1,btw-verhoging te_kost_van baan boek en krant
17995,1,werkloosheid dalen vooral veel vrouw aan_het werk
17997,1,consumentenvertrouwen hoog niveau in bijna acht jaar tijd
18015,-1,Fors veel wegenbelasting voor mens met vies diesel
18017,0,ECB onzeker of griekse bank maandag opengaan
18027,-1,chinese beurs lijden groot weekverlies sinds 2008
18031,1,nieuw belastingstelsel leveren maximaal 60.000 baan op
18065,0,deze econoom zijn kritisch over nieuw belastingplan
18069,0,je kennen hem van zijn beleggingsadvies en zijn mop
18093,0,"huizenprijs stijgen met 2,6 procent in mei"
18109,0,Eurotop acht compromis met Griekenland mogelijk
18139,0,werkgeversvoorman fel over uitkeringsgerechtigd labbekakken
18143,1,koopkrachtplaatje belastingplan 2 procent veel voor werkenden
18149,-1,schuldeiser hebben griekse voorstel afwijzen
18167,0,Grieken op hun 57ste met pensioen en wãj maar werken of nie
18181,-1,Telegraaf_Media_groep reorganiseren drukkerij 168 baan minnen
18203,-1,duizend baan weg bij Air_France
18225,0,traumatiseren agent krijgen miljoen smartengeld
18231,-1,hulpprogramma Griekenland worden niet verlengen
18237,0,grieks parlement stemmen in met referendum over reddingsplan
18249,1,ECB handhaven steun mogelijk toch kapitaalcontroles nodig
18253,-1,griekse bank voor onbepaald tijd dicht Tsipras Grieken bl
18267,-1,LIVE laat bod alweer afwijzen Grieken overwegen jur
18291,0,griekse regering vragen om nieuw steunpakket
18293,0,nieuw aziatisch investeringsbank gaan voor lean green a
18297,-1,eurogroep zijn aflopen nieuw voorstel afwijzen
18303,-1,IMF Griekenland in_gebrek
18305,0,hier moeten Grieken ja of nee tegen zeggen
18323,1,werkgever in 2016 kwart miljard minder kwijt aan ww-premie
18361,-1,BBC schrappen duizend baan vanwege tegenvallen inkomst
18367,0,kunnen Griekenland zomaar ander munt adopteren
18381,0,grexit eng deze mens verdienen eraan
18393,1,aantal faillissement dalen met bijna 26 procent in een half
18399,0,kijken griekse schuldencrisis uitleggen in 3 minuut
18401,0,zij hoeven geen loon in te leveren maar misschien wel haar baan
18413,-1,open brief Griekenland zijn europees probleem niet_alleen Grieks
18415,0,hier hebben je geld kunnen verdienen of verliezen op beurs
18421,0,LIVE dag na overweldigen nee van Grieken
18423,0,student lenen voor eigen spaarrekening
18427,0,Wehkamp definitief in_hand van britse investeerder Apax
18445,0,ook ontslagaanvraag bij kantonrechtbank verdubbelen
18457,0,9 procent bijstandsgerechtigd vullen inkomen aan met parttimebaa
18463,-1,nieuw maatregel in China na vrij val beurs
18467,1,hoog griekse staatsschuld zijn helemaal niet hoog
18471,0,Griekenland dienen officieel verzoek in tot nieuw lening
18473,0,europees parlement stemmen in met voortgang TTIP-onderhandelingen
18481,-1,Microsoft schrappen 7800 baan vooral ontslaan binnen telefonen
18483,0,britse minister van Financiën introduceren verplichten bestaan
18489,0,griekse bank worden mogelijk dwingen te fuseren
18497,1,herstellen zichtbaar op chinese beurs
18501,0,LIVE komen Tsipras met voorstel die grexit kunnen voorkomen
18503,1,groot aantal huis verkopen sinds begin crisis
18513,0,IMF zien economisch groei licht vertragen weinig impact Griek
18527,0,Griekenland willen pensioen hervormen en privatiseren in ruil vo
18529,-1,griekse crisis in China en Amerika gaan het slecht
18545,1,akkoord over cao rijksambtenaar
18557,0,topman IHC gaan mens ontslaan en werk naar buitenland verp
18559,0,hoe moeten dat nou met die griekse schuld
18575,1,Eurotop bereiken akkoord over griekse schuldencrisis
18591,0,tsipras wachten lang dag van overleg over omstreden akkoord met e
18597,0,IMF veel hulp voor Grieken nodig bij houdbaar maken schuldenlas
18611,0,tsipras ik geloven niet in dit akkoord maar voeren het wel door
18619,1,stabiel groei chinese economie
18627,0,europese_commissie kwijtschelding griekse schuld zijn niet mogeli
18631,0,griekse staatssecretaris Financiën stappen op wegens akkoord
18639,0,grieks parlement stemmen in met omstreden europees hulppakket
